code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
503;CHELIFF 6;01:00:00;23;7;Juillet;2013;2002;2;SORTIE;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
506;CAP SIGLI;01:00:00;23;7;Juillet;2013;2002;2;SORTIE;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
507;CAP BOUAK 2;01:00:00;23;7;Juillet;2013;2002;2;SORTIE;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
503;CHELIFF 6;01:00:00;23;7;Juillet;2013;2003;1;ENTREE;POSTE 16;CEREALIER;BARRA;9;20130924;PANAMA
506;CAP SIGLI;01:00:00;23;7;Juillet;2013;2003;1;ENTREE;POSTE 16;CEREALIER;BARRA;9;20130924;PANAMA
507;CAP BOUAK 2;01:00:00;23;7;Juillet;2013;2003;1;ENTREE;POSTE 16;CEREALIER;BARRA;9;20130924;PANAMA
503;CHELIFF 6;01:35:01;23;7;Juillet;2013;2004;2;SORTIE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
506;CAP SIGLI;01:35:01;23;7;Juillet;2013;2004;2;SORTIE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
507;CAP BOUAK 2;01:35:01;23;7;Juillet;2013;2004;2;SORTIE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
503;CHELIFF 6;00:50:01;23;7;Juillet;2013;2005;1;ENTREE;POSTE 24;PORTE CONTENEURS;HOHEPLATE;5;20130842;ANTIGUA ET BARBUDA
506;CAP SIGLI;00:50:01;23;7;Juillet;2013;2005;1;ENTREE;POSTE 24;PORTE CONTENEURS;HOHEPLATE;5;20130842;ANTIGUA ET BARBUDA
507;CAP BOUAK 2;00:50:01;23;7;Juillet;2013;2005;1;ENTREE;POSTE 24;PORTE CONTENEURS;HOHEPLATE;5;20130842;ANTIGUA ET BARBUDA
507;CAP BOUAK 2;00:45:00;24;7;Juillet;2013;2006;2;SORTIE;POSTE 18;CARGO;SEA ENDURANCE;4;20130934;CHYPRE
506;CAP SIGLI;00:40:00;24;7;Juillet;2013;2007;2;SORTIE;POSTE 14;CARGO;ARISTOKLIS K;6;20130914;CHYPRE
